Stratum	Reference	RefType
3	0	Type0
1	0	Type0
9	1	Type2
9	1	Type2
4	0	Type0
7	1	Type2
2	1	Type2
4	0	Type0
10	1	Type2
5	0	Type0
6	1	Type2
7	1	Type2
7	1	Type2
3	0	Type0
6	0	Type0
4	0	Type0
10	1	Type2
2	0	Type0
7	0	Type0
6	0	Type0
1	0	Type0
2	0	Type0
1	0	Type0
3	0	Type0
9	1	Type2
1	0	Type0
5	0	Type0
3	0	Type0
8	1	Type2
5	0	Type0
8	1	Type2
1	0	Type0
7	1	Type2
1	0	Type0
5	0	Type0
7	0	Type0
3	0	Type0
3	1	Type2
8	1	Type2
10	1	Type2
3	0	Type0
7	1	Type2
10	0	Type0
3	0	Type0
1	0	Type0
5	0	Type0
3	0	Type0
3	0	Type0
7	1	Type2
3	0	Type0
8	1	Type2
1	0	Type0
4	0	Type0
7	1	Type2
5	0	Type0
1	0	Type0
5	0	Type0
7	1	Type2
1	0	Type0
8	1	Type2
7	1	Type2
6	0	Type0
8	1	Type2
7	1	Type2
10	1	Type2
4	0	Type0
9	1	Type2
8	1	Type2
7	1	Type2
3	0	Type0
1	0	Type0
3	0	Type0
5	0	Type0
3	0	Type0
5	0	Type0
4	0	Type0
3	0	Type0
7	1	Type2
4	0	Type0
6	1	Type2
6	1	Type2
7	0	Type2
8	1	Type2
4	0	Type0
3	0	Type0
8	0	Type0
6	1	Type2
3	0	Type0
8	1	Type2
10	1	Type2
7	1	Type2
3	0	Type0
3	1	Type2
1	0	Type0
3	0	Type0
9	1	Type2
3	0	Type0
10	1	Type2
3	0	Type0
2	0	Type0
4	0	Type0
3	0	Type0
5	0	Type0
7	1	Type2
6	0	Type0
7	1	Type2
9	1	Type2
5	0	Type0
7	1	Type2
2	0	Type0
1	0	Type0
8	1	Type2
4	0	Type0
7	0	Type0
2	0	Type0
3	0	Type0
4	0	Type0
3	0	Type0
3	0	Type0
6	1	Type2
5	0	Type0
6	0	Type0
6	1	Type2
7	1	Type2
2	0	Type0
5	0	Type0
9	1	Type2
5	1	Type2
2	0	Type0
5	0	Type0
4	0	Type0
3	0	Type0
8	0	Type0
6	1	Type2
7	1	Type2
4	0	Type0
3	0	Type0
1	0	Type0
3	0	Type0
10	1	Type2
3	1	Type2
7	1	Type2
10	1	Type2
7	1	Type2
3	0	Type0
9	1	Type2
1	0	Type0
1	0	Type0
7	1	Type2
3	0	Type0
3	0	Type0
4	0	Type0
3	0	Type0
9	1	Type2
1	0	Type0
2	0	Type0
10	1	Type2
3	0	Type0
3	0	Type0
3	0	Type0
9	1	Type2
7	1	Type2
1	0	Type0
2	0	Type0
2	0	Type0
10	1	Type2
5	0	Type0
2	1	Type2
8	1	Type2
3	0	Type0
1	0	Type0
5	0	Type0
10	0	Type0
6	0	Type0
2	0	Type0
6	0	Type0
5	0	Type0
5	0	Type0
4	0	Type0
5	0	Type0
2	0	Type0
8	0	Type0
9	1	Type2
8	1	Type2
10	1	Type2
2	0	Type0
2	0	Type0
1	0	Type0
5	0	Type0
7	1	Type2
8	1	Type2
2	0	Type0
6	1	Type2
8	1	Type2
8	0	Type0
5	0	Type0
6	1	Type2
5	0	Type0
1	0	Type0
2	0	Type0
7	1	Type2
5	1	Type2
3	0	Type0
1	0	Type0
3	0	Type0
3	0	Type0
4	0	Type0
8	1	Type2
3	0	Type0
2	0	Type0
5	0	Type0
10	1	Type2
7	1	Type2
5	0	Type0
1	0	Type0
5	0	Type0
7	1	Type2
7	0	Type0
3	0	Type0
1	0	Type0
3	0	Type0
10	1	Type2
4	0	Type0
7	1	Type2
3	0	Type0
5	0	Type0
5	0	Type0
1	0	Type0
7	1	Type2
10	1	Type2
1	0	Type0
7	1	Type2
10	1	Type2
1	0	Type0
7	0	Type0
4	0	Type0
9	1	Type2
6	1	Type2
3	1	Type2
9	1	Type2
1	0	Type0
9	0	Type0
7	1	Type2
5	0	Type0
8	0	Type0
10	0	Type0
9	1	Type2
4	0	Type0
10	1	Type2
6	1	Type2
10	1	Type2
8	0	Type0
5	0	Type0
10	1	Type2
6	1	Type2
2	0	Type0
1	0	Type0
9	1	Type2
1	0	Type0
5	0	Type0
5	0	Type0
5	1	Type2
3	0	Type0
10	1	Type2
7	0	Type0
5	0	Type0
8	1	Type2
2	0	Type0
1	0	Type0
10	1	Type2
2	0	Type0
6	1	Type2
1	0	Type0
1	0	Type0
7	1	Type2
7	1	Type2
4	0	Type0
8	1	Type2
3	0	Type0
1	0	Type0
7	0	Type0
8	1	Type2
5	0	Type0
9	1	Type2
10	0	Type0
4	0	Type0
7	1	Type2
9	1	Type2
7	0	Type0
1	0	Type0
3	0	Type0
3	0	Type0
7	1	Type2
7	1	Type2
8	1	Type2
2	0	Type0
3	0	Type0
3	0	Type0
3	0	Type0
6	0	Type0
1	0	Type0
1	0	Type0
5	0	Type0
6	1	Type2
3	0	Type0
10	1	Type2
6	0	Type0
2	0	Type0
7	1	Type2
3	1	Type2
3	0	Type0
2	0	Type0
9	1	Type2
3	0	Type0
9	1	Type2
5	0	Type0
4	0	Type0
4	0	Type0
6	1	Type2
1	1	Type2
4	0	Type0
1	0	Type0
4	0	Type0
8	1	Type2
8	1	Type2
6	0	Type0
10	0	Type0
8	1	Type2
9	1	Type2
6	1	Type2
5	0	Type0
8	1	Type2
5	0	Type0
4	0	Type0
2	0	Type0
6	0	Type0
6	1	Type2
8	0	Type0
8	1	Type2
3	0	Type0
9	1	Type2
8	1	Type2
9	1	Type2
1	0	Type0
6	1	Type2
9	1	Type2
9	1	Type2
3	0	Type0
8	1	Type2
1	0	Type0
4	0	Type0
3	0	Type0
3	0	Type0
7	0	Type0
3	0	Type0
9	1	Type2
7	1	Type2
7	1	Type2
9	0	Type0
1	0	Type0
9	1	Type2
7	1	Type2
2	0	Type0
7	1	Type2
3	0	Type0
5	0	Type0
7	1	Type2
1	0	Type0
5	0	Type0
3	0	Type0
2	0	Type0
3	0	Type0
1	0	Type0
6	1	Type2
5	0	Type0
5	0	Type0
6	0	Type0
2	0	Type0
4	0	Type0
1	0	Type0
6	0	Type0
3	0	Type0
8	1	Type2
8	0	Type0
5	0	Type0
3	0	Type0
5	0	Type0
9	1	Type2
10	1	Type2
10	0	Type0
7	1	Type2
3	0	Type0
9	1	Type2
4	0	Type0
10	0	Type0
4	0	Type0
2	0	Type0
8	0	Type0
1	0	Type0
7	1	Type2
2	0	Type0
9	1	Type2
5	0	Type0
2	0	Type0
7	0	Type0
7	1	Type2
