Stratum	Pixarea	Map	Reference	RefType	Correct
5	0.000736237	0	0	Type0	1
6	0.000701678	1	1	Type2	1
5	0.000736237	0	0	Type0	1
1	0.000754548	0	0	Type0	1
2	0.0004261	0	0	Type0	1
7	0.000390463	1	1	Type2	1
5	0.000736237	0	1	Type2	0
3	0.00073879	0	0	Type0	1
1	0.000754548	0	0	Type0	1
3	0.00073879	0	0	Type0	1
3	0.00073879	0	0	Type0	1
4	0.000565682	0	0	Type0	1
8	0.000740631	1	1	Type2	1
3	0.00073879	0	0	Type0	1
2	0.0004261	0	0	Type0	1
5	0.000736237	0	0	Type0	1
10	0.000690284	1	1	Type2	1
7	0.000390463	1	1	Type2	1
5	0.000736237	0	0	Type0	1
1	0.000754548	0	0	Type0	1
5	0.000736237	0	0	Type0	1
7	0.000390463	1	1	Type2	1
7	0.000390463	1	0	Type0	0
3	0.00073879	0	0	Type0	1
1	0.000754548	0	0	Type0	1
3	0.00073879	0	0	Type0	1
10	0.000690284	1	1	Type2	1
4	0.000565682	0	0	Type0	1
7	0.000390463	1	1	Type2	1
3	0.00073879	0	0	Type0	1
5	0.000736237	0	0	Type0	1
5	0.000736237	0	0	Type0	1
1	0.000754548	0	0	Type0	1
7	0.000390463	1	1	Type2	1
10	0.000690284	1	1	Type2	1
1	0.000754548	0	0	Type0	1
7	0.000390463	1	1	Type2	1
10	0.000690284	1	1	Type2	1
1	0.000754548	0	0	Type0	1
7	0.000390463	1	0	Type0	0
4	0.000565682	0	0	Type0	1
9	0.000420496	1	1	Type2	1
6	0.000701678	1	1	Type2	1
3	0.00073879	0	1	Type2	0
9	0.000420496	1	1	Type2	1
1	0.000754548	0	0	Type0	1
9	0.000420496	1	0	Type0	0
7	0.000390463	1	1	Type2	1
5	0.000736237	0	0	Type0	1
8	0.000740631	1	0	Type0	0
10	0.000690284	1	0	Type0	0
9	0.000420496	1	1	Type2	1
4	0.000565682	0	0	Type0	1
10	0.000690284	1	1	Type2	1
6	0.000701678	1	1	Type2	1
10	0.000690284	1	1	Type2	1
8	0.000740631	1	0	Type0	0
5	0.000736237	0	0	Type0	1
10	0.000690284	1	1	Type2	1
6	0.000701678	1	1	Type2	1
2	0.0004261	0	0	Type0	1
1	0.000754548	0	0	Type0	1
9	0.000420496	1	1	Type2	1
1	0.000754548	0	0	Type0	1
5	0.000736237	0	0	Type0	1
5	0.000736237	0	0	Type0	1
5	0.000736237	0	1	Type2	0
3	0.00073879	0	0	Type0	1
10	0.000690284	1	1	Type2	1
7	0.000390463	1	0	Type0	0
5	0.000736237	0	0	Type0	1
8	0.000740631	1	1	Type2	1
2	0.0004261	0	0	Type0	1
1	0.000754548	0	0	Type0	1
10	0.000690284	1	1	Type2	1
2	0.0004261	0	0	Type0	1
6	0.000701678	1	1	Type2	1
1	0.000754548	0	0	Type0	1
1	0.000754548	0	0	Type0	1
7	0.000390463	1	1	Type2	1
7	0.000390463	1	1	Type2	1
4	0.000565682	0	0	Type0	1
8	0.000740631	1	1	Type2	1
3	0.00073879	0	0	Type0	1
1	0.000754548	0	0	Type0	1
7	0.000390463	1	0	Type0	0
8	0.000740631	1	1	Type2	1
5	0.000736237	0	0	Type0	1
9	0.000420496	1	1	Type2	1
10	0.000690284	1	0	Type0	0
4	0.000565682	0	0	Type0	1
7	0.000390463	1	1	Type2	1
9	0.000420496	1	1	Type2	1
7	0.000390463	1	0	Type0	0
1	0.000754548	0	0	Type0	1
3	0.00073879	0	0	Type0	1
3	0.00073879	0	0	Type0	1
7	0.000390463	1	1	Type2	1
7	0.000390463	1	1	Type2	1
8	0.000740631	1	1	Type2	1
2	0.0004261	0	0	Type0	1
3	0.00073879	0	0	Type0	1
3	0.00073879	0	0	Type0	1
3	0.00073879	0	0	Type0	1
6	0.000701678	1	0	Type0	0
1	0.000754548	0	0	Type0	1
1	0.000754548	0	0	Type0	1
5	0.000736237	0	0	Type0	1
6	0.000701678	1	1	Type2	1
3	0.00073879	0	0	Type0	1
10	0.000690284	1	1	Type2	1
6	0.000701678	1	0	Type0	0
2	0.0004261	0	0	Type0	1
7	0.000390463	1	1	Type2	1
3	0.00073879	0	1	Type2	0
3	0.00073879	0	0	Type0	1
2	0.0004261	0	0	Type0	1
9	0.000420496	1	1	Type2	1
3	0.00073879	0	0	Type0	1
9	0.000420496	1	1	Type2	1
5	0.000736237	0	0	Type0	1
4	0.000565682	0	0	Type0	1
4	0.000565682	0	0	Type0	1
6	0.000701678	1	1	Type2	1
1	0.000754548	0	1	Type2	0
4	0.000565682	0	0	Type0	1
1	0.000754548	0	0	Type0	1
4	0.000565682	0	0	Type0	1
8	0.000740631	1	1	Type2	1
8	0.000740631	1	1	Type2	1
6	0.000701678	1	0	Type0	0
10	0.000690284	1	0	Type0	0
8	0.000740631	1	1	Type2	1
9	0.000420496	1	1	Type2	1
6	0.000701678	1	1	Type2	1
5	0.000736237	0	0	Type0	1
8	0.000740631	1	1	Type2	1
5	0.000736237	0	0	Type0	1
4	0.000565682	0	0	Type0	1
2	0.0004261	0	0	Type0	1
6	0.000701678	1	0	Type0	0
6	0.000701678	1	1	Type2	1
8	0.000740631	1	0	Type0	0
8	0.000740631	1	1	Type2	1
3	0.00073879	0	0	Type0	1
9	0.000420496	1	1	Type2	1
8	0.000740631	1	1	Type2	1
9	0.000420496	1	1	Type2	1
1	0.000754548	0	0	Type0	1
6	0.000701678	1	1	Type2	1
9	0.000420496	1	1	Type2	1
9	0.000420496	1	1	Type2	1
3	0.00073879	0	0	Type0	1
8	0.000740631	1	1	Type2	1
1	0.000754548	0	0	Type0	1
4	0.000565682	0	0	Type0	1
3	0.00073879	0	0	Type0	1
3	0.00073879	0	0	Type0	1
7	0.000390463	1	0	Type0	0
3	0.00073879	0	0	Type0	1
9	0.000420496	1	1	Type2	1
7	0.000390463	1	1	Type2	1
7	0.000390463	1	1	Type2	1
9	0.000420496	1	0	Type0	0
1	0.000754548	0	0	Type0	1
9	0.000420496	1	1	Type2	1
7	0.000390463	1	1	Type2	1
2	0.0004261	0	0	Type0	1
7	0.000390463	1	1	Type2	1
3	0.00073879	0	0	Type0	1
5	0.000736237	0	0	Type0	1
7	0.000390463	1	1	Type2	1
1	0.000754548	0	0	Type0	1
5	0.000736237	0	0	Type0	1
3	0.00073879	0	0	Type0	1
2	0.0004261	0	0	Type0	1
3	0.00073879	0	0	Type0	1
